name,prefix,seed,dim,n_clusters_init,max_n_clusters,n_split_trials,ari,nmi,sum
XMeans,high_data,4,2,2,10,1,0.3996396760849929,0.5422936106982126,0.9419332867832055
XMeans,high_data,4,2,2,10,2,0.3996396760849929,0.5422936106982126,0.9419332867832055
XMeans,high_data,4,2,2,10,3,0.3996396760849929,0.5422936106982126,0.9419332867832055
XMeans,high_data,4,2,2,10,4,0.3996396760849929,0.5422936106982126,0.9419332867832055
XMeans,high_data,4,2,2,10,5,0.3996396760849929,0.5422936106982126,0.9419332867832055
XMeans,high_data,4,2,2,10,6,0.3996396760849929,0.5422936106982126,0.9419332867832055
XMeans,high_data,4,2,2,10,7,0.3996396760849929,0.5422936106982126,0.9419332867832055
XMeans,high_data,4,2,2,10,8,0.3996396760849929,0.5422936106982126,0.9419332867832055
XMeans,high_data,4,2,2,10,9,0.3996396760849929,0.5422936106982126,0.9419332867832055
XMeans,high_data,4,2,2,10,10,0.3996396760849929,0.5422936106982126,0.9419332867832055
XMeans,high_data,4,2,2,11,1,0.3996396760849929,0.5422936106982126,0.9419332867832055
XMeans,high_data,4,2,2,11,2,0.3996396760849929,0.5422936106982126,0.9419332867832055
XMeans,high_data,4,2,2,11,3,0.3996396760849929,0.5422936106982126,0.9419332867832055
XMeans,high_data,4,2,2,11,4,0.3996396760849929,0.5422936106982126,0.9419332867832055
XMeans,high_data,4,2,2,11,5,0.3996396760849929,0.5422936106982126,0.9419332867832055
XMeans,high_data,4,2,2,11,6,0.3996396760849929,0.5422936106982126,0.9419332867832055
XMeans,high_data,4,2,2,11,7,0.3996396760849929,0.5422936106982126,0.9419332867832055
XMeans,high_data,4,2,2,11,8,0.3996396760849929,0.5422936106982126,0.9419332867832055
XMeans,high_data,4,2,2,11,9,0.3996396760849929,0.5422936106982126,0.9419332867832055
XMeans,high_data,4,2,2,11,10,0.3996396760849929,0.5422936106982126,0.9419332867832055
XMeans,high_data,4,2,2,12,1,0.3996396760849929,0.5422936106982126,0.9419332867832055
XMeans,high_data,4,2,2,12,2,0.3996396760849929,0.5422936106982126,0.9419332867832055
XMeans,high_data,4,2,2,12,3,0.3996396760849929,0.5422936106982126,0.9419332867832055
XMeans,high_data,4,2,2,12,4,0.3996396760849929,0.5422936106982126,0.9419332867832055
XMeans,high_data,4,2,2,12,5,0.3996396760849929,0.5422936106982126,0.9419332867832055
XMeans,high_data,4,2,2,12,6,0.3996396760849929,0.5422936106982126,0.9419332867832055
XMeans,high_data,4,2,2,12,7,0.3996396760849929,0.5422936106982126,0.9419332867832055
XMeans,high_data,4,2,2,12,8,0.3996396760849929,0.5422936106982126,0.9419332867832055
XMeans,high_data,4,2,2,12,9,0.3996396760849929,0.5422936106982126,0.9419332867832055
