name,prefix,seed,dim,cluster_loss_weight,dip_merge_threshold,embedding_size,n_clusters_init,max_n_clusters,ari,nmi,sum
DipDECK,low_data,2,2,0.1,0.9,2,15,35,0.6582407430344787,0.7323043891694465,1.390545132203925
DipDECK,low_data,2,2,0.1,0.95,2,2,10,0.20287434926722056,0.38245384491255074,0.5853281941797713
DipDECK,low_data,2,2,0.1,0.95,2,2,15,0.20287434926722056,0.38245384491255074,0.5853281941797713
DipDECK,low_data,2,2,0.1,0.95,2,2,20,0.20287434926722056,0.38245384491255074,0.5853281941797713
DipDECK,low_data,2,2,0.1,0.95,2,2,25,0.20287434926722056,0.38245384491255074,0.5853281941797713
DipDECK,low_data,2,2,0.1,0.95,2,2,30,0.20287434926722056,0.38245384491255074,0.5853281941797713
DipDECK,low_data,2,2,0.1,0.95,2,2,35,0.20287434926722056,0.38245384491255074,0.5853281941797713
DipDECK,low_data,2,2,0.1,0.95,2,5,10,0.5504910961932431,0.6859008398767173,1.2363919360699605
DipDECK,low_data,2,2,0.1,0.95,2,5,15,0.5504910961932431,0.6859008398767173,1.2363919360699605
DipDECK,low_data,2,2,0.1,0.95,2,5,20,0.5504910961932431,0.6859008398767173,1.2363919360699605
DipDECK,low_data,2,2,0.1,0.95,2,5,25,0.5504910961932431,0.6859008398767173,1.2363919360699605
DipDECK,low_data,2,2,0.1,0.95,2,5,30,0.5504910961932431,0.6859008398767173,1.2363919360699605
DipDECK,low_data,2,2,0.1,0.95,2,5,35,0.5504910961932431,0.6859008398767173,1.2363919360699605
DipDECK,low_data,2,2,0.1,0.95,2,7,10,0.5751900900617036,0.6857094903504204,1.260899580412124
DipDECK,low_data,2,2,0.1,0.95,2,7,15,0.5751900900617036,0.6857094903504204,1.260899580412124
